root	mode	first_line	verdict
testdir:asmhdr.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/asmhdr.dir/main.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:asmhdr.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/asmhdr.dir/main.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:blank.go	interpreted	gosource: package-level name T._ declared twice in the lowered file	missing=0;wording=0;extra=0;class=-
testdir:blank.go	compiled	gosource: package-level name T._ declared twice in the lowered file	missing=0;wording=0;extra=0;class=-
testdir:chan/doubleselect.go	interpreted	command exceeded time limit	missing=0;wording=0;extra=0;class=-
testdir:chan/doubleselect.go	compiled	chan/doubleselect.go:17:1: LOWER-ETYPE: cannot use flag.Int("n", 100000, "number of iterations") (value of type *int) as int value in variable declaration	missing=0;wording=0;extra=0;class=-
testdir:closure3.go	interpreted	main.go:15: missing error "can inline main.func1"	missing=139;wording=0;extra=0;class=missing
testdir:closure3.go	compiled	test/closure3.dir/main.go:16:9: can inline main.func1	missing=22;wording=0;extra=22;class=position
testdir:codegen/switch.go	interpreted	linux/amd64/v1	missing=0;wording=0;extra=0;class=-
testdir:codegen/switch.go	compiled	codegen/switch.go:249: linux/amd64/v1: opcode not found: `^CMPL \(.*\), \$1836345390$`	missing=0;wording=0;extra=0;class=-
testdir:const8.go	interpreted	const8.go:18:10: const8.go:18:10: BASHPP-EEXPR-UNDEFINED: undefined: iota	missing=0;wording=0;extra=0;class=-
testdir:const8.go	compiled	const8.go:18:10: LOWER-EUNDEFINED: undefined: iota	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/bug115.go	compiled	test/fixedbugs/bug115.go:13:2: LOWER-ETYPE: cannot use i (variable of type *big.Int) as uint value in argument to isuint	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/bug273.go	interpreted	channel binding requires a registered channel type and one value	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/bug273.go	compiled	fixedbugs/bug273.go:11:1: LOWER-ETYPE: "unsafe" imported and not used	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/bug424.go	interpreted	test/fixedbugs/bug424.dir/main.go:53:6: BASHPP-EINTERFACE-MISSING: *myT2 does not implement interface (missing method m)	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/bug424.go	compiled	test/fixedbugs/bug424.dir/main.go:53:2: LOWER-ETYPE: cannot use new(myT2) (value of type *myT2) as localI value in assignment: *myT2 does not implement localI (ambiguous selector *myT2.m)	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue15609.go	interpreted	Bash++ backend unsupported execute phase: module package issue15609.dir has non-Go inputs [call_amd64.s]	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue15609.go	compiled	Bash++ backend unsupported execute phase: module package issue15609.dir has non-Go inputs [call_amd64.s]	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue16616.go	compiled	test/fixedbugs/issue16616.dir/b.go:11:1: LOWER-ETYPE: __gosource_pkg_1_V (package-level variable) is not a type	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue18459.go	interpreted	compilation succeeded unexpectedly	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue18459.go	compiled	/srv/sprint162/barrier-c/tmp/Testfixedbugsissue18459.go3317391387/002/main.go:6: //go:nowritebarrier only allowed in runtime	missing=1;wording=0;extra=0;class=missing
testdir:fixedbugs/issue18882.go	interpreted	compilation succeeded unexpectedly	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue18882.go	compiled	/srv/sprint162/barrier-c/tmp/Testfixedbugsissue18882.go808401565/002/main.go:6: //go:cgo_ldflag // ERROR "usage: //go:cgo_ldflag" only allowed in cgo-generated code	missing=1;wording=0;extra=0;class=missing
testdir:fixedbugs/issue18895.go	interpreted	p.go:7: missing error "can inline"	missing=3;wording=0;extra=0;class=missing
testdir:fixedbugs/issue18895.go	compiled	test/fixedbugs/issue18895.dir/p.go:14:6: can inline __gosource_pkg_0_t.m	missing=0;wording=1;extra=1;class=wording
testdir:fixedbugs/issue19261.go	interpreted	p.go:7: missing error "can inline F"	missing=2;wording=0;extra=0;class=missing
testdir:fixedbugs/issue19261.go	compiled	test/fixedbugs/issue19261.dir/p.go:7:6: can inline __gosource_pkg_0_F	missing=0;wording=1;extra=1;class=wording
testdir:fixedbugs/issue19467.go	interpreted	BASHPP-EBUILTIN-TYPE: BASHPP-ECOLLECTION-ELEMENT: cannot use *interp.bashPPBridgeValue value as runtime.Frame	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue19467.go	compiled	2026/09/13 10:18:16 frame 0: got main.(*__gosource_pkg_0_WaitGroup).Add, want test/mysync.(*WaitGroup).Add	missing=0;wording=0;extra=0;class=-
