root	mode	rule	owner
package:cmd/compile	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/amd64	interpreted	v10.6b internal-visibility	package
package:cmd/compile/internal/base	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/dwarfgen	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/importer	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/inline/inlheur	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/liveness	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/logopt	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/loopvar	interpreted	v10.6b internal-visibility	package
package:cmd/compile/internal/noder	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/reflectdata	interpreted	v10.6b internal-visibility	package
package:cmd/compile/internal/ssagen	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/syntax	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/test	compiled	v10.6b internal-visibility	package
package:cmd/compile/internal/typecheck	compiled	v10.6b internal-visibility	package
package:cmd/internal/testdir	interpreted	v10.6b internal-visibility	package
testdir:blank.go	compiled	v10.6a lowered-namespace	152
testdir:chan/doubleselect.go	compiled	v10.6a lower-diagnostic	152
testdir:const8.go	compiled	v10.6a lower-diagnostic	152
testdir:escape_runtime_atomic.go	compiled	v10.6b internal-visibility	package
testdir:fixedbugs/bug115.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/bug273.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/bug424.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/bug514.go	interpreted	v10.6d cgo-root	retained
testdir:fixedbugs/issue16616.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/issue18459.go	compiled	v10.6a pragma-position	152
testdir:fixedbugs/issue18882.go	compiled	v10.6a pragma-position	152
testdir:fixedbugs/issue18895.go	compiled	v10.6a mangled-name	152
testdir:fixedbugs/issue19261.go	compiled	v10.6a mangled-name	152
testdir:fixedbugs/issue19467.go	compiled	v10.6a mangled-name	152
testdir:fixedbugs/issue20298.go	compiled	v10.6a unused-import	152
testdir:fixedbugs/issue22344.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/issue23586.go	compiled	v10.6a unused-import	152
testdir:fixedbugs/issue24693.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/issue34968.go	interpreted	v10.6d cgo-root	152
testdir:fixedbugs/issue34968.go	compiled	v10.6d cgo-root	152
testdir:fixedbugs/issue36705.go	interpreted	v10.6d cgo-root	152
testdir:fixedbugs/issue36705.go	compiled	v10.6d cgo-root	152
testdir:fixedbugs/issue37837.go	compiled	v10.6a mangled-name	152
testdir:fixedbugs/issue40954.go	interpreted	v10.6d cgo-root	retained
testdir:fixedbugs/issue42032.go	interpreted	v10.6d cgo-root	retained
testdir:fixedbugs/issue42076.go	interpreted	v10.6d cgo-root	retained
testdir:fixedbugs/issue42284.go	compiled	v10.6a mangled-name	152
testdir:fixedbugs/issue4370.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/issue46903.go	interpreted	v10.6d cgo-root	retained
testdir:fixedbugs/issue47185.go	interpreted	v10.6d cgo-root	152
testdir:fixedbugs/issue47185.go	compiled	v10.6d cgo-root	152
testdir:fixedbugs/issue47227.go	interpreted	v10.6d cgo-root	152
testdir:fixedbugs/issue47227.go	compiled	v10.6d cgo-root	152
testdir:fixedbugs/issue51733.go	interpreted	v10.6d cgo-root	retained
testdir:fixedbugs/issue54911.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/issue56280.go	compiled	v10.6a mangled-name	152
testdir:fixedbugs/issue6847.go	compiled	v10.6a lower-diagnostic	152
testdir:fixedbugs/issue71225.go	interpreted	v10.6d cgo-root	152
testdir:fixedbugs/issue71225.go	compiled	v10.6d cgo-root	152
testdir:fixedbugs/issue71226.go	interpreted	v10.6d cgo-root	152
testdir:fixedbugs/issue71226.go	compiled	v10.6d cgo-root	152
testdir:fixedbugs/issue7794.go	compiled	v10.6a lower-diagnostic	152
testdir:interface/embed3.go	compiled	v10.6a mangled-name	152
testdir:intrinsic.go	interpreted	v10.6b internal-visibility	package
testdir:linkname.go	compiled	v10.6a mangled-name	152
testdir:linkname3.go	compiled	v10.6a unexpected-success	152
testdir:nul1.go	interpreted	v10.6c multiplicity-verdict	154
testdir:nul1.go	compiled	v10.6c multiplicity-verdict	154
testdir:shift3.go	compiled	v10.6a lower-diagnostic	152
