root	mode	decision	ground
package:cmd/compile	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/abt	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/amd64	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/base	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/compare	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/devirtualize	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/dwarfgen	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/importer	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/inline/inlheur	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/ir	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/liveness	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/logopt	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/loopvar	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/noder	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/rangefunc	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/reflectdata	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/ssa	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/ssagen	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/syntax	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/test	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/typecheck	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/types	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/compile/internal/types2	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:cmd/internal/testdir	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:go/types	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
package:internal/types/errors	interpreted	D1	multi-package interpreted execution: design limitation (162 D1)
