root	mode	decision	ground
testdir:fixedbugs/bug385_64.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/bug398.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue14999.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue16369.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue18459.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue18882.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue20027.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue20529.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue20780.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue22200.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue22200b.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue25507.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue42058a.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue42058b.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue48097.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue49767.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue49814.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue52697.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue56103.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue63333.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue74626.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue78355.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/issue79258.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/notinheap.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:fixedbugs/notinheap2.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:linkname3.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:nowritebarrier.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:typeparam/issue54765.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
testdir:uintptrkeepalive.go	interpreted	D5	gc-only check go/types cannot express (162 D5; notinheap2 joins at C)
