root	mode	decision	ground
testdir:abi/part_live.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:abi/part_live_2.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:cmp.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/bug513.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue17381.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue27695b.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue27695c.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue29362.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue29362b.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue30041.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue35027.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue40917.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue4585.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue46938.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue48536.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue52612.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue75365.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue80004.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:ken/cplx3.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:slicecap.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:unsafe_slice_data.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:unsafe_string_data.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:uintptrescapes.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue11656.go	interpreted	D7	unsafe.Pointer memory reinterpretation: no native memory model (162 D7)
testdir:fixedbugs/issue54343.go	interpreted	D7	GC/finalizer observation of interpreter values (162 D7 note)
testdir:fixedbugs/issue15281.go	interpreted	D7	GC/finalizer observation of interpreter values (162 D7 note)
