root	mode	decision	ground
testdir:finprofiled.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:fixedbugs/issue24491a.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:fixedbugs/issue24491b.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:fixedbugs/issue27518b.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:fixedbugs/issue30476.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:fixedbugs/issue32477.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:fixedbugs/issue45045.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:gcstring.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:mallocfin.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:stackobj.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:stackobj3.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:tinyfin.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:typeparam/chans.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:typeparam/chansimp.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:uintptrescapes3.go	interpreted	D9	runtime.SetFinalizer+runtime.GC on interpreter-owned values: D7's ground (165 D9)
testdir:fixedbugs/issue16331.go	interpreted	D9	reflect.MakeFunc retained callback (162 D7 retained-callback clause; 165 D9)
testdir:fixedbugs/issue25897a.go	interpreted	D9	reflect.MakeFunc retained callback (162 D7 retained-callback clause; 165 D9)
testdir:fixedbugs/issue28748.go	interpreted	D9	reflect.MakeFunc retained callback (162 D7 retained-callback clause; 165 D9)
testdir:fixedbugs/issue52788.go	interpreted	D9	reflect.MakeFunc retained callback (162 D7 retained-callback clause; 165 D9)
testdir:fixedbugs/issue52788a.go	interpreted	D9	reflect.MakeFunc retained callback (162 D7 retained-callback clause; 165 D9)
testdir:fixedbugs/issue57184.go	interpreted	D9	reflect.MakeFunc retained callback (162 D7 retained-callback clause; 165 D9)
testdir:fixedbugs/issue36516.go	interpreted	D9	testing.AllocsPerRun retained callback (165 D9)
testdir:fixedbugs/issue4618.go	interpreted	D9	testing.AllocsPerRun retained callback (165 D9)
testdir:fixedbugs/issue4667.go	interpreted	D9	testing.AllocsPerRun retained callback (165 D9)
testdir:fixedbugs/issue19113.go	interpreted	D9	retained reflect.ValueOf original-function callback (165 D9)
testdir:fixedbugs/issue58300.go	interpreted	D9	retained reflect.ValueOf original-function callback (165 D9)
testdir:inline_literal.go	interpreted	D9	retained reflect.ValueOf original-function callback (165 D9)
testdir:fixedbugs/issue26335.go	interpreted	D9	retained reflect.ValueOf original-function callback (165 D9)
testdir:fixedbugs/issue58300b.go	interpreted	D9	retained reflect.ValueOf original-function callback (165 D9)
