# root	mode	upstream terminal	verifier status (ERE). Roots of the other architecture are upstream skips.
asmdir_arm64.go	interpreted	fail	UNSUPPORTED
asmdir_arm64.go	compiled	pass	BUILDDIR-PASS
asmdir_amd64.go	interpreted	fail	UNSUPPORTED
asmdir_amd64.go	compiled	pass	BUILDDIR-PASS
asmonly_arm64.go	interpreted	fail	UNSUPPORTED
asmonly_arm64.go	compiled	pass	BUILDDIR-PASS
asmonly_amd64.go	interpreted	fail	UNSUPPORTED
asmonly_amd64.go	compiled	pass	BUILDDIR-PASS
asmhdr_arm64.go	interpreted	fail	UNSUPPORTED
asmhdr_arm64.go	compiled	pass	BUILDDIR-PASS
asmhdr_amd64.go	interpreted	fail	UNSUPPORTED
asmhdr_amd64.go	compiled	pass	BUILDDIR-PASS
asmmissing_arm64.go	interpreted	fail	UNSUPPORTED
asmmissing_arm64.go	compiled	fail	BUILDDIR-PRODUCT-FAIL
asmmissing_amd64.go	interpreted	fail	UNSUPPORTED
asmmissing_amd64.go	compiled	fail	BUILDDIR-PRODUCT-FAIL
asmrun.go	interpreted	fail	RUNINDIR-PRODUCT-FAIL
asmrun.go	compiled	fail	RUNINDIR-PRODUCT-FAIL
plaindir.go	interpreted	pass	BUILDDIR-PASS
plaindir.go	compiled	pass	BUILDDIR-PASS
